Coach,Win Percent,Season,Record,Team,Sport
Lars Andersson,.583,2011-12,9-6-3,UNC Pembroke,Womens Soccer
Brittany Jones,.000,2015-16,0-0,Fla. Southern,Womens Soccer
Brittany Jones,.367,2014-15,4-8-3,Fla. Southern,Womens Soccer
Craig Martin,.185,2014-15,5-22,Mount Ida,Mens Volleyball
Keith Koch,.310,2006-07,9-20,Medaille,Womens Volleyball
Craig Martin,.222,2012-13,6-21,Mount Ida,Mens Volleyball
Craig Martin,.276,2013-14,8-21,Mount Ida,Mens Volleyball
Keith Koch,.735,2011-12,25-9,Medaille,Mens Volleyball
Keith Koch,.548,2012-13,17-14,Medaille,Mens Volleyball
Keith Koch,.000,2015-16,0-0,Medaille,Womens Volleyball
Keith Koch,.786,2010-11,22-6,Medaille,Mens Volleyball
David Kulik,.529,2011-12,8-7-2,Clark (MA),Mens Soccer
Keith Koch,.654,2013-14,17-9,Medaille,Mens Volleyball
Keith Koch,.576,2014-15,19-14,Medaille,Mens Volleyball
Rose Shires,.000,2015-16,0-0,Omaha,Womens Volleyball
Rupert Lewis,.684,2011-12,13-6,St. Josephs (ME),Field Hockey
"Ted Karras, Jr.",.364,2014-15,4-7,Walsh,Football
"Ted Karras, Jr.",.000,2015-16,0-0,Walsh,Football
"Ted Karras, Jr.",.923,2011-12,12-1,Marian (IN),Football
"Ted Karras, Jr.",.273,2013-14,3-8,Walsh,Football
Rose Shires,.241,2013-14,7-22,Omaha,Womens Volleyball
Rose Shires,.424,2014-15,14-19,Omaha,Womens Volleyball
Rose Shires,.179,2011-12,5-23,Omaha,Womens Volleyball
Rose Shires,.214,2012-13,6-22,Omaha,Womens Volleyball
Craig Bohl,.333,2014-15,4-8,Wyoming,Football
Bret Stothart,.000,2015-16,0-0,Western New Eng.,Womens Volleyball
Julie Darty,.000,2015-16,0-0,Jacksonville,Womens Volleyball
Mark McNellie,.273,2011-12,3-8,Lake Erie,Football
Phil Jones,.700,1921-22,7-3,Mansfield,Mens Basketball
Julie Darty,.559,2014-15,19-15,Jacksonville,Womens Volleyball
Phil Jones,.273,2014-15,3-8,Shorter,Football
Phil Jones,.000,2015-16,0-0,Shorter,Football
Glenn DeHaven,.000,2015-16,0-0,Stevens,Womens Volleyball
Phil Jones,.182,2013-14,2-9,Shorter,Football
Pam Hoerup,.486,2014-15,17-18,SUNY Cortland,Womens Volleyball
Mark McNellie,.273,2012-13,3-8,Lake Erie,Football
Mark McNellie,.364,2013-14,4-7,Lake Erie,Football
Alf Bilbao,.690,2008-09,13-5-3,Drury,Mens Soccer
